gvkeyx,prccm,datadate,conm,tic
000003,2823.81000000,2018-01-31,S&P 500 Comp-Ltd,I0003
000003,2713.83000000,2018-02-28,S&P 500 Comp-Ltd,I0003
000003,2640.87000000,2018-03-31,S&P 500 Comp-Ltd,I0003
000003,2648.05000000,2018-04-30,S&P 500 Comp-Ltd,I0003
000003,2705.27000000,2018-05-31,S&P 500 Comp-Ltd,I0003
000003,2718.37000000,2018-06-30,S&P 500 Comp-Ltd,I0003
000003,2816.29000000,2018-07-31,S&P 500 Comp-Ltd,I0003
000003,2901.52000000,2018-08-31,S&P 500 Comp-Ltd,I0003
000003,2913.98000000,2018-09-30,S&P 500 Comp-Ltd,I0003
000003,2711.74000000,2018-10-31,S&P 500 Comp-Ltd,I0003
000003,2760.17000000,2018-11-30,S&P 500 Comp-Ltd,I0003
000003,2506.85000000,2018-12-31,S&P 500 Comp-Ltd,I0003
000003,2704.10000000,2019-01-31,S&P 500 Comp-Ltd,I0003
000003,2784.49000000,2019-02-28,S&P 500 Comp-Ltd,I0003
000003,2834.40000000,2019-03-31,S&P 500 Comp-Ltd,I0003
000003,2945.83000000,2019-04-30,S&P 500 Comp-Ltd,I0003
000003,2752.06000000,2019-05-31,S&P 500 Comp-Ltd,I0003
000003,2941.76000000,2019-06-30,S&P 500 Comp-Ltd,I0003
000003,2980.38000000,2019-07-31,S&P 500 Comp-Ltd,I0003
000003,2926.46000000,2019-08-31,S&P 500 Comp-Ltd,I0003
000003,2976.74000000,2019-09-30,S&P 500 Comp-Ltd,I0003
000003,3037.56000000,2019-10-31,S&P 500 Comp-Ltd,I0003
000003,3140.98000000,2019-11-30,S&P 500 Comp-Ltd,I0003
000003,3230.78000000,2019-12-31,S&P 500 Comp-Ltd,I0003
000003,3225.52000000,2020-01-31,S&P 500 Comp-Ltd,I0003
000003,2954.22000000,2020-02-29,S&P 500 Comp-Ltd,I0003
000003,2584.59000000,2020-03-31,S&P 500 Comp-Ltd,I0003
000003,2912.43000000,2020-04-30,S&P 500 Comp-Ltd,I0003
000003,3044.31000000,2020-05-31,S&P 500 Comp-Ltd,I0003
000003,3100.29000000,2020-06-30,S&P 500 Comp-Ltd,I0003
000003,3271.12000000,2020-07-31,S&P 500 Comp-Ltd,I0003
000003,3500.31000000,2020-08-31,S&P 500 Comp-Ltd,I0003
000003,3363.00000000,2020-09-30,S&P 500 Comp-Ltd,I0003
000003,3269.96000000,2020-10-31,S&P 500 Comp-Ltd,I0003
000003,3621.63000000,2020-11-30,S&P 500 Comp-Ltd,I0003
000003,3756.07000000,2020-12-31,S&P 500 Comp-Ltd,I0003
000003,3714.24000000,2021-01-31,S&P 500 Comp-Ltd,I0003
000003,3811.15000000,2021-02-28,S&P 500 Comp-Ltd,I0003
000003,3972.89000000,2021-03-31,S&P 500 Comp-Ltd,I0003
000003,4181.17000000,2021-04-30,S&P 500 Comp-Ltd,I0003
000003,4204.11000000,2021-05-31,S&P 500 Comp-Ltd,I0003
000003,4297.50000000,2021-06-30,S&P 500 Comp-Ltd,I0003
000003,4395.26000000,2021-07-31,S&P 500 Comp-Ltd,I0003
000003,4522.68000000,2021-08-31,S&P 500 Comp-Ltd,I0003
000003,4307.54000000,2021-09-30,S&P 500 Comp-Ltd,I0003
000003,4605.38000000,2021-10-31,S&P 500 Comp-Ltd,I0003
000003,4567.00000000,2021-11-30,S&P 500 Comp-Ltd,I0003
000003,4766.18000000,2021-12-31,S&P 500 Comp-Ltd,I0003
000003,4515.55000000,2022-01-31,S&P 500 Comp-Ltd,I0003
000003,4373.94000000,2022-02-28,S&P 500 Comp-Ltd,I0003
000003,4530.41000000,2022-03-31,S&P 500 Comp-Ltd,I0003
000003,4131.93000000,2022-04-30,S&P 500 Comp-Ltd,I0003
000003,4132.15000000,2022-05-31,S&P 500 Comp-Ltd,I0003
000003,3785.38000000,2022-06-30,S&P 500 Comp-Ltd,I0003
000003,4130.29000000,2022-07-31,S&P 500 Comp-Ltd,I0003
000003,3955.00000000,2022-08-31,S&P 500 Comp-Ltd,I0003
000003,3585.62000000,2022-09-30,S&P 500 Comp-Ltd,I0003
000003,3871.98000000,2022-10-31,S&P 500 Comp-Ltd,I0003
000003,4080.11000000,2022-11-30,S&P 500 Comp-Ltd,I0003
000003,3839.50000000,2022-12-31,S&P 500 Comp-Ltd,I0003
