PERMNO,date,COMNAM,PRC
84788,2018-01-31,AMAZON COM INC,1450.89001
84788,2018-02-28,AMAZON COM INC,1512.44995
84788,2018-03-29,AMAZON COM INC,1447.33997
84788,2018-04-30,AMAZON COM INC,1566.13000
84788,2018-05-31,AMAZON COM INC,1629.62000
84788,2018-06-29,AMAZON COM INC,1699.80005
84788,2018-07-31,AMAZON COM INC,1777.43994
84788,2018-08-31,AMAZON COM INC,2012.70996
84788,2018-09-28,AMAZON COM INC,2003.00000
84788,2018-10-31,AMAZON COM INC,1598.01001
84788,2018-11-30,AMAZON COM INC,1690.17004
84788,2018-12-31,AMAZON COM INC,1501.96997
84788,2019-01-31,AMAZON COM INC,1718.72998
84788,2019-02-28,AMAZON COM INC,1639.82996
84788,2019-03-29,AMAZON COM INC,1780.75000
84788,2019-04-30,AMAZON COM INC,1926.52002
84788,2019-05-31,AMAZON COM INC,1775.06995
84788,2019-06-28,AMAZON COM INC,1893.63000
84788,2019-07-31,AMAZON COM INC,1866.78003
84788,2019-08-30,AMAZON COM INC,1776.29004
84788,2019-09-30,AMAZON COM INC,1735.91003
84788,2019-10-31,AMAZON COM INC,1776.66003
84788,2019-11-29,AMAZON COM INC,1800.80005
84788,2019-12-31,AMAZON COM INC,1847.83997
84788,2020-01-31,AMAZON COM INC,2008.71997
84788,2020-02-28,AMAZON COM INC,1883.75000
84788,2020-03-31,AMAZON COM INC,1949.71997
84788,2020-04-30,AMAZON COM INC,2474.00000
84788,2020-05-29,AMAZON COM INC,2442.37012
84788,2020-06-30,AMAZON COM INC,2758.82007
84788,2020-07-31,AMAZON COM INC,3164.67993
84788,2020-08-31,AMAZON COM INC,3450.95996
84788,2020-09-30,AMAZON COM INC,3148.72998
84788,2020-10-30,AMAZON COM INC,3036.14990
84788,2020-11-30,AMAZON COM INC,3168.04004
84788,2020-12-31,AMAZON COM INC,3256.92993
84788,2021-01-29,AMAZON COM INC,3206.19995
84788,2021-02-26,AMAZON COM INC,3092.92993
84788,2021-03-31,AMAZON COM INC,3094.08008
84788,2021-04-30,AMAZON COM INC,3467.41992
84788,2021-05-28,AMAZON COM INC,3223.07007
84788,2021-06-30,AMAZON COM INC,3440.15991
84788,2021-07-30,AMAZON COM INC,3327.59009
84788,2021-08-31,AMAZON COM INC,3470.79004
84788,2021-09-30,AMAZON COM INC,3285.04004
84788,2021-10-29,AMAZON COM INC,3372.42993
84788,2021-11-30,AMAZON COM INC,3507.07007
84788,2021-12-31,AMAZON COM INC,3334.34009
84788,2022-01-31,AMAZON COM INC,2991.46997
84788,2022-02-28,AMAZON COM INC,3071.26001
84788,2022-03-31,AMAZON COM INC,3259.94995
84788,2022-04-29,AMAZON COM INC,2485.62988
84788,2022-05-31,AMAZON COM INC,2404.18994
84788,2022-06-30,AMAZON COM INC,106.21000
84788,2022-07-29,AMAZON COM INC,134.95000
84788,2022-08-31,AMAZON COM INC,126.77000
84788,2022-09-30,AMAZON COM INC,113.00000
84788,2022-10-31,AMAZON COM INC,102.44000
84788,2022-11-30,AMAZON COM INC,96.54000
84788,2022-12-30,AMAZON COM INC,84.00000
