Date, Open, High, Low, Close, Volume
12/30/22, 83.12, 84.05, 82.47, 84.00, 62401191
12/29/22, 82.87, 84.55, 82.55, 84.18, 54995898
12/28/22, 82.80, 83.48, 81.69, 81.82, 58228578
12/27/22, 84.97, 85.35, 83.00, 83.04, 57284039
12/23/22, 83.25, 85.78, 82.9344, 85.25, 57433660
12/22/22, 85.52, 85.68, 82.25, 83.79, 81431312
12/21/22, 86.175, 87.225, 85.21, 86.77, 59267160
12/20/22, 85.33, 86.61, 84.33, 85.19, 74348305
12/19/22, 87.51, 87.63, 84.51, 84.92, 83531453
12/16/22, 88.265, 89.35, 86.73, 87.86, 146144094
12/15/22, 89.89, 89.97, 87.47, 88.45, 84802883
12/14/22, 92.502, 93.4581, 89.87, 91.58, 70298008
12/13/22, 95.23, 96.25, 90.52, 92.49, 100212000
12/12/22, 89.21, 90.58, 87.87, 90.55, 61999762
12/09/22, 88.90, 90.30, 88.63, 89.09, 67398516
12/08/22, 89.24, 90.86, 87.88, 90.35, 73305891
12/07/22, 88.34, 89.89, 87.48, 88.46, 68086883
12/06/22, 90.50, 91.04, 87.90, 88.25, 75503633
12/05/22, 93.05, 94.06, 90.82, 91.01, 71535531
12/02/22, 94.475, 95.36, 93.78, 94.13, 72496391
12/01/22, 96.99, 97.23, 94.92, 95.50, 68487969
11/30/22, 92.47, 96.54, 91.525, 96.54, 102805797
11/29/22, 94.04, 94.41, 91.44, 92.42, 65567289
11/28/22, 93.93, 96.40, 93.43, 93.95, 75062320
11/25/22, 93.79, 94.43, 93.065, 93.41, 35088609
11/23/22, 93.24, 94.58, 92.83, 94.13, 59414680
11/22/22, 92.62, 93.35, 90.87, 93.20, 62191961
11/21/22, 93.97, 95.02, 90.59, 92.46, 84330273
11/18/22, 95.95, 95.99, 92.48, 94.14, 72428195
11/17/22, 95.37, 96.97, 94.03, 94.85, 82617875
11/16/22, 96.85, 98.4879, 95.54, 97.12, 87958828
11/15/22, 103.21, 103.79, 97.34, 98.94, 111336305
11/14/22, 98.77, 100.1199, 97.29, 98.49, 99533070
11/11/22, 97.88, 101.19, 96.66, 100.79, 111590492
11/10/22, 92.935, 98.69, 91.65, 96.63, 173414891
11/09/22, 89.47, 89.48, 85.87, 86.14, 90796250
11/08/22, 90.79, 91.72, 88.23, 89.98, 88703367
11/07/22, 91.95, 92.10, 89.04, 90.53, 77495727
11/04/22, 91.49, 92.44, 88.04, 90.98, 129101297
11/03/22, 92.47, 93.50, 89.02, 89.30, 136683297
11/02/22, 97.315, 97.74, 92.01, 92.12, 135761797
11/01/22, 103.99, 104.58, 96.06, 96.79, 153370000
10/31/22, 103.56, 104.87, 100.74, 102.44, 99251398
10/28/22, 97.905, 103.96, 97.66, 103.41, 223133406
10/27/22, 113.92, 114.12, 109.77, 110.96, 129605398
10/26/22, 116.00, 119.3457, 114.76, 115.66, 69002461
10/25/22, 119.65, 121.3152, 118.95, 120.60, 50934609
10/24/22, 119.98, 120.39, 116.57, 119.82, 49531520
10/21/22, 114.792, 119.59, 114.50, 119.32, 55660488
10/20/22, 113.83, 118.24, 113.51, 115.25, 48795102
10/19/22, 114.71, 116.5932, 113.22, 115.07, 47198121
10/18/22, 119.06, 119.52, 114.79, 116.36, 65607445
10/17/22, 110.11, 114.19, 110.09, 113.79, 62781992
10/14/22, 114.10, 114.96, 106.60, 106.90, 67737344
10/13/22, 107.88, 113.44, 105.345, 112.53, 86868094
